"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-07 04:00:00,,73,57,,,78,,,,,,59,50
2021-01-07 07:30:00,,72,52,50,83,85,,,,,,38,31
2021-01-07 08:30:00,,69,50,42,,79,,,,,,43,38
2021-01-07 09:30:00,,70,51,43,,77,,,,,,45,40
2021-01-07 10:45:00,,67,,,,67,,,,,,47,
2021-01-07 14:00:00,,65,56,,,61,,,,,,48,
2021-01-07 15:00:00,,64,55,46,,55,,,,,,48,
2021-01-07 17:15:00,,67,54,,,68,,,,,,49,
2021-01-07 17:45:00,,69,,47,,71,,,,,,,44
2021-01-07 18:45:00,,70,57,,,75,,,,,,,
2021-01-07 19:45:00,,71,,47,,76,,,,,,,
2021-01-07 20:45:00,,70,,49,,,,,,,,52,
2021-01-07 21:30:00,,71,,49,,79,,,,,,,
2021-01-07 23:30:00,,73,,49,,85,,,,,,,
2021-01-08 00:15:00,,71,,,,81,,,,,,,
2021-01-08 02:15:00,,68,,50,,,,,,,,,
2021-01-08 03:15:00,,67,,49,,77,,,,,,,
2021-01-08 04:00:00,,68,,,,78,,,,,,55,
2021-01-08 05:00:00,,70,,,,81,,,,,,,
2021-01-08 05:45:00,,70,53,,,80,,,,,,,
2021-01-08 06:45:00,,70,,,,83,,,,,,,
2021-01-08 07:30:00,,69,47,,,80,,,,,,,
2021-01-08 08:30:00,,69,49,,,,,,,,,,
2021-01-08 09:30:00,,69,,,,80,,,,,,,
2021-01-08 09:45:00,,68,,41,,78,,,,,,,
2021-01-08 10:30:00,,66,,,,65,,,,,,,
2021-01-08 11:30:00,,65,53,42,,59,,,,,,43,41
2021-01-08 13:30:00,,62,54,42,,52,,,,,,,42
2021-01-08 14:00:00,,61,54,42,,47,,,,,,44,42
2021-01-08 14:15:00,,62,,,,47,,,,,,,
